Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score
20,Female,Undergraduate,Spain,4.7,Tiktok,1,7.2,6,3,7
22,Male,Graduate,Denmark,3.5,Facebook,0,8.3,8,2,4
19,Female,Undergraduate,Ireland,4.4,Instagram,1,7.5,7,3,6
21,Male,Graduate,India,6.3,Whatsapp,1,6.0,5,4,8
20,Female,Undergraduate,Switzerland,3.4,Instagram,0,8.4,8,2,4
22,Male,Graduate,Turkey,5.0,Tiktok,1,7.2,6,3,7
19,Female,Undergraduate,Usa,7.3,Instagram,1,5.0,5,4,9
21,Male,Graduate,Mexico,6.1,Whatsapp,1,6.1,6,3,7
20,Female,Undergraduate,France,4.0,Instagram,0,8.0,7,2,5
22,Male,Graduate,Canada,4.8,Tiktok,1,7.4,6,3,7
19,Female,Undergraduate,Spain,4.6,Instagram,1,7.3,6,3,7
21,Male,Graduate,Denmark,3.4,Facebook,0,8.4,8,2,4
20,Female,Undergraduate,Ireland,4.3,Tiktok,1,7.6,7,3,6
22,Male,Graduate,India,6.4,Whatsapp,1,5.9,5,4,8
19,Female,Undergraduate,Switzerland,3.3,Instagram,0,8.5,8,2,4
21,Male,Graduate,Turkey,4.9,Instagram,1,7.3,6,3,7
20,Female,Undergraduate,Usa,7.4,Tiktok,1,4.9,5,4,9
22,Male,Graduate,Mexico,6.2,Whatsapp,1,6.0,6,3,7
19,Female,Undergraduate,France,3.9,Instagram,0,8.1,7,2,5
21,Male,Graduate,Canada,4.7,Instagram,1,7.5,6,3,7
20,Female,Undergraduate,Spain,4.5,Tiktok,1,7.4,6,3,7
22,Male,Graduate,Denmark,3.3,Facebook,0,8.5,8,2,4
19,Female,Undergraduate,Ireland,4.2,Instagram,1,7.7,7,3,6
21,Male,Graduate,India,6.5,Whatsapp,1,5.8,5,4,8
20,Female,Undergraduate,Switzerland,3.2,Instagram,0,8.6,8,2,4
22,Male,Graduate,Turkey,4.8,Tiktok,1,7.4,6,3,7
19,Female,Undergraduate,Usa,7.5,Instagram,1,4.8,5,4,9
21,Male,Graduate,Mexico,6.3,Whatsapp,1,5.9,6,3,7
20,Female,Undergraduate,France,3.8,Instagram,0,8.2,7,2,5
22,Male,Graduate,Canada,4.6,Tiktok,1,7.6,6,3,7
19,Female,Undergraduate,Spain,4.4,Instagram,1,7.5,6,3,7
21,Male,Graduate,Denmark,3.2,Facebook,0,8.6,8,2,4
20,Female,Undergraduate,Ireland,4.1,Tiktok,1,7.8,7,3,6
22,Male,Graduate,India,6.6,Whatsapp,1,5.7,5,4,8
19,Female,Undergraduate,Switzerland,3.1,Instagram,0,8.7,8,2,4
21,Male,Graduate,Turkey,4.7,Instagram,1,7.5,6,3,7
20,Female,Undergraduate,Usa,7.6,Tiktok,1,4.7,5,4,9
22,Male,Graduate,Mexico,6.4,Whatsapp,1,5.8,6,3,7
19,Female,Undergraduate,France,3.7,Instagram,0,8.3,7,2,5
21,Male,Graduate,Canada,4.5,Instagram,1,7.7,6,3,7
20,Female,Undergraduate,Spain,4.3,Tiktok,1,7.6,6,3,7
22,Male,Graduate,Denmark,3.1,Facebook,0,8.7,8,2,4
19,Female,Undergraduate,Ireland,4.0,Instagram,1,7.9,7,3,6
21,Male,Graduate,India,6.7,Whatsapp,1,5.6,5,4,8
20,Female,Undergraduate,Switzerland,3.0,Instagram,0,8.8,8,2,4
22,Male,Graduate,Turkey,4.6,Tiktok,1,7.6,6,3,7
19,Female,Undergraduate,Usa,7.7,Instagram,1,4.6,5,4,9
21,Male,Graduate,Mexico,6.5,Whatsapp,1,5.7,6,3,7
20,Female,Undergraduate,France,3.6,Instagram,0,8.4,7,2,5
22,Male,Graduate,Canada,4.4,Tiktok,1,7.8,6,3,7
19,Female,Undergraduate,Spain,4.2,Instagram,1,7.7,6,3,7
21,Male,Graduate,Denmark,3.0,Facebook,0,8.8,8,2,4
20,Female,Undergraduate,Ireland,3.9,Tiktok,1,8.0,7,3,6
22,Male,Graduate,India,6.8,Whatsapp,1,5.5,5,4,8
19,Female,Undergraduate,Switzerland,2.9,Instagram,0,8.9,8,2,4
21,Male,Graduate,Turkey,4.5,Instagram,1,7.7,6,3,7
20,Female,Undergraduate,Usa,7.8,Tiktok,1,4.5,5,4,9
22,Male,Graduate,Mexico,6.6,Whatsapp,1,5.6,6,3,7
19,Female,Undergraduate,France,3.5,Instagram,0,8.5,7,2,5
21,Male,Graduate,Canada,4.3,Instagram,1,7.9,6,3,7
20,Female,Undergraduate,Spain,4.1,Tiktok,1,7.8,6,3,7
22,Male,Graduate,Denmark,2.9,Facebook,0,8.9,8,2,4
19,Female,Undergraduate,Ireland,3.8,Instagram,1,8.1,7,3,6
21,Male,Graduate,India,6.9,Whatsapp,1,5.4,5,4,8
20,Female,Undergraduate,Switzerland,2.8,Instagram,0,9.0,8,2,4
22,Male,Graduate,Turkey,4.4,Tiktok,1,7.8,6,3,7
19,Female,Undergraduate,Usa,7.9,Instagram,1,4.4,5,4,9
21,Male,Graduate,Mexico,6.7,Whatsapp,1,5.5,6,3,7
20,Female,Undergraduate,France,3.4,Instagram,0,8.6,7,2,5
22,Male,Graduate,Canada,4.2,Tiktok,1,8.0,6,3,7
19,Female,Undergraduate,Spain,4.0,Instagram,1,7.9,6,3,7
21,Male,Graduate,Denmark,2.8,Facebook,0,9.0,8,2,4
20,Female,Undergraduate,Ireland,3.7,Tiktok,1,8.2,7,3,6
22,Male,Graduate,India,7.0,Whatsapp,1,5.3,5,4,8
19,Female,Undergraduate,Switzerland,2.7,Instagram,0,9.1,8,2,4
21,Male,Graduate,Turkey,4.3,Instagram,1,7.9,6,3,7
20,Female,Undergraduate,Usa,8.0,Tiktok,1,4.3,5,4,9
22,Male,Graduate,Mexico,6.8,Whatsapp,1,5.4,6,3,7
19,Female,Undergraduate,France,3.3,Instagram,0,8.7,7,2,5
21,Male,Graduate,Canada,4.1,Instagram,1,8.1,6,3,7
20,Female,Undergraduate,Spain,3.9,Tiktok,1,8.0,6,3,7
22,Male,Graduate,Denmark,2.7,Facebook,0,9.1,8,2,4
19,Female,Undergraduate,Ireland,3.6,Instagram,1,8.3,7,3,6
21,Male,Graduate,India,7.1,Whatsapp,1,5.2,5,4,8
20,Female,Undergraduate,Switzerland,2.6,Instagram,0,9.2,8,2,4
22,Male,Graduate,Turkey,4.2,Tiktok,1,8.0,6,3,7
19,Female,Undergraduate,Usa,8.1,Instagram,1,4.2,5,4,9
21,Male,Graduate,Mexico,6.9,Whatsapp,1,5.3,6,3,7
20,Female,Undergraduate,France,3.2,Instagram,0,8.8,7,2,5
22,Male,Graduate,Canada,4.0,Tiktok,1,8.2,6,3,7
19,Female,Undergraduate,Spain,3.8,Instagram,1,8.1,6,3,7
21,Male,Graduate,Denmark,2.6,Facebook,0,9.2,8,2,4
20,Female,Undergraduate,Ireland,3.5,Tiktok,1,8.4,7,3,6
22,Male,Graduate,India,7.2,Whatsapp,1,5.1,5,4,8
19,Female,Undergraduate,Switzerland,2.5,Instagram,0,9.3,8,2,4
21,Male,Graduate,Turkey,4.1,Instagram,1,8.1,6,3,7
20,Female,Undergraduate,Usa,8.2,Tiktok,1,4.1,5,4,9
22,Male,Graduate,Mexico,7.0,Whatsapp,1,5.2,6,3,7
19,Female,Undergraduate,France,3.1,Instagram,0,8.9,7,2,5
21,Male,Graduate,Canada,3.9,Instagram,1,8.3,6,3,7
20,Female,Undergraduate,Spain,3.7,Tiktok,1,8.2,6,3,7
22,Male,Graduate,Denmark,2.5,Facebook,0,9.3,8,2,4
19,Female,Undergraduate,Ireland,3.4,Instagram,1,8.5,7,3,6
21,Male,Graduate,India,7.3,Whatsapp,1,5.0,5,4,8
20,Female,Undergraduate,Switzerland,2.4,Instagram,0,9.4,8,2,4
22,Male,Graduate,Turkey,4.0,Tiktok,1,8.2,6,3,7
19,Female,Undergraduate,Usa,8.3,Instagram,1,4.0,5,4,9
21,Male,Graduate,Mexico,7.1,Whatsapp,1,5.1,6,3,7
20,Female,Undergraduate,France,3.0,Instagram,0,9.0,7,2,5
22,Male,Graduate,Canada,3.8,Tiktok,1,8.4,6,3,7
19,Female,Undergraduate,Spain,3.6,Instagram,1,8.3,6,3,7
21,Male,Graduate,Denmark,2.4,Facebook,0,9.4,8,2,4
20,Female,Undergraduate,Ireland,3.3,Tiktok,1,8.6,7,3,6
22,Male,Graduate,India,7.4,Whatsapp,1,4.9,5,4,8
19,Female,Undergraduate,Switzerland,2.3,Instagram,0,9.5,8,2,4
21,Male,Graduate,Turkey,3.9,Instagram,1,8.3,6,3,7
20,Female,Undergraduate,Usa,8.4,Tiktok,1,3.9,5,4,9
22,Male,Graduate,Mexico,7.2,Whatsapp,1,5.0,6,3,7
19,Female,Undergraduate,France,2.9,Instagram,0,9.1,7,2,5
21,Male,Graduate,Canada,3.7,Instagram,1,8.5,6,3,7
20,Female,Undergraduate,Spain,3.5,Tiktok,1,8.4,6,3,7
22,Male,Graduate,Denmark,2.3,Facebook,0,9.5,8,2,4
19,Female,Undergraduate,Ireland,3.2,Instagram,1,8.7,7,3,6
21,Male,Graduate,India,7.5,Whatsapp,1,4.8,5,4,8
20,Female,Undergraduate,Switzerland,2.2,Instagram,0,9.6,8,2,4
22,Male,Graduate,Turkey,3.8,Tiktok,1,8.4,6,3,7
19,Female,Undergraduate,Usa,8.5,Instagram,1,3.8,5,4,9
21,Male,Graduate,Mexico,7.3,Whatsapp,1,4.9,6,3,7
20,Female,Undergraduate,France,2.8,Instagram,0,9.2,7,2,5
22,Male,Graduate,Canada,3.6,Tiktok,1,8.6,6,3,7
19,Female,Undergraduate,Brazil,6.2,Whatsapp,1,6.3,6,3,7
21,Male,Graduate,China,4.5,Wechat,0,7.8,7,2,5
20,Female,Undergraduate,Netherlands,3.8,Instagram,0,8.2,8,2,4
22,Male,Graduate,New Zealand,4.7,Instagram,1,7.5,7,3,6
19,Female,Undergraduate,Singapore,5.1,Tiktok,1,7.0,6,3,7
21,Male,Graduate,Malaysia,5.5,Whatsapp,1,6.8,6,3,7
20,Female,Undergraduate,Uae,6.5,Instagram,1,6.5,5,4,8
22,Male,Graduate,Poland,4.2,Facebook,0,7.9,7,2,5
19,Female,Undergraduate,India,6.8,Whatsapp,1,6.0,5,4,8
21,Male,Graduate,Canada,4.8,Instagram,1,7.4,7,3,6
20,Female,Undergraduate,Brazil,6.1,Instagram,1,6.4,6,3,7
22,Male,Graduate,China,4.4,Wechat,0,7.9,7,2,5
19,Female,Undergraduate,Netherlands,3.7,Tiktok,0,8.3,8,2,4
21,Male,Graduate,New Zealand,4.6,Instagram,1,7.6,7,3,6
20,Female,Undergraduate,Singapore,5.2,Tiktok,1,6.9,6,3,7
22,Male,Graduate,Malaysia,5.6,Whatsapp,1,6.7,6,3,7
19,Female,Undergraduate,Uae,6.6,Instagram,1,6.4,5,4,8
21,Male,Graduate,Poland,4.1,Facebook,0,8.0,7,2,5
20,Female,Undergraduate,India,6.9,Whatsapp,1,5.9,5,4,8
22,Male,Graduate,Canada,4.7,Tiktok,1,7.5,7,3,6
19,Female,Undergraduate,Brazil,6.0,Whatsapp,1,6.5,6,3,7
21,Male,Graduate,China,4.3,Wechat,0,8.0,7,2,5
20,Female,Undergraduate,Netherlands,3.6,Instagram,0,8.4,8,2,4
22,Male,Graduate,New Zealand,4.5,Facebook,1,7.7,7,3,6
19,Female,Undergraduate,Singapore,5.3,Tiktok,1,6.8,6,3,7
21,Male,Graduate,Malaysia,5.7,Whatsapp,1,6.6,6,3,7
20,Female,Undergraduate,Uae,6.7,Instagram,1,6.3,5,4,8
22,Male,Graduate,Poland,4.0,Facebook,0,8.1,7,2,5
19,Female,Undergraduate,India,7.0,Whatsapp,1,5.8,5,4,8
21,Male,Graduate,Canada,4.6,Instagram,1,7.6,7,3,6
20,Female,Undergraduate,Brazil,5.9,Tiktok,1,6.6,6,3,7
22,Male,Graduate,China,4.2,Wechat,0,8.1,7,2,5
19,Female,Undergraduate,Netherlands,3.5,Instagram,0,8.5,8,2,4
21,Male,Graduate,New Zealand,4.4,Facebook,1,7.8,7,3,6
20,Female,Undergraduate,Singapore,5.4,Tiktok,1,6.7,6,3,7
22,Male,Graduate,Malaysia,5.8,Whatsapp,1,6.5,6,3,7
19,Female,Undergraduate,Uae,6.8,Instagram,1,6.2,5,4,8
21,Male,Graduate,Poland,3.9,Facebook,0,8.2,7,2,5
20,Female,Undergraduate,India,7.1,Whatsapp,1,5.7,5,4,8
22,Male,Graduate,Canada,4.5,Tiktok,1,7.7,7,3,6
19,Female,Undergraduate,Brazil,5.8,Whatsapp,1,6.7,6,3,7
21,Male,Graduate,China,4.1,Wechat,0,8.2,7,2,5
20,Female,Undergraduate,Netherlands,3.4,Instagram,0,8.6,8,2,4
22,Male,Graduate,New Zealand,4.3,Instagram,1,7.9,7,3,6
19,Female,Undergraduate,Singapore,5.5,Tiktok,1,6.6,6,3,7
21,Male,Graduate,Malaysia,5.9,Whatsapp,1,6.4,6,3,7
20,Female,Undergraduate,Uae,6.9,Instagram,1,6.1,5,4,8
22,Male,Graduate,Poland,3.8,Facebook,0,8.3,7,2,5
19,Female,Undergraduate,India,7.2,Whatsapp,1,5.6,5,4,8
21,Male,Graduate,Canada,4.4,Instagram,1,7.8,7,3,6
20,Female,Undergraduate,Brazil,5.7,Tiktok,1,6.8,6,3,7
22,Male,Graduate,China,4.0,Wechat,0,8.3,7,2,5
19,Female,Undergraduate,Netherlands,3.3,Instagram,0,8.7,8,2,4
21,Male,Graduate,New Zealand,4.2,Facebook,1,8.0,7,3,6
20,Female,Undergraduate,Singapore,5.6,Tiktok,1,6.5,6,3,7
22,Male,Graduate,Malaysia,6.0,Whatsapp,1,6.3,6,3,7
19,Female,Undergraduate,Uae,7.0,Instagram,1,6.0,5,4,8
21,Male,Graduate,Poland,3.7,Facebook,0,8.4,7,2,5
20,Female,Undergraduate,India,7.3,Whatsapp,1,5.5,5,4,8
22,Male,Graduate,Canada,4.3,Tiktok,1,7.9,7,3,6
19,Female,Undergraduate,Brazil,5.6,Whatsapp,1,6.9,6,3,7
21,Male,Graduate,China,3.9,Wechat,0,8.4,7,2,5
20,Female,Undergraduate,Netherlands,3.2,Instagram,0,8.8,8,2,4
22,Male,Graduate,New Zealand,4.1,Instagram,1,8.1,7,3,6
19,Female,Undergraduate,Singapore,5.7,Tiktok,1,6.4,6,3,7
21,Male,Graduate,Malaysia,6.1,Whatsapp,1,6.2,6,3,7
20,Female,Undergraduate,Uae,7.1,Instagram,1,5.9,5,4,8
22,Male,Graduate,Poland,3.6,Facebook,0,8.5,7,2,5
19,Female,Undergraduate,India,7.4,Whatsapp,1,5.4,5,4,8
21,Male,Graduate,Canada,4.2,Instagram,1,8.0,7,3,6
20,Female,Undergraduate,Spain,6.1,Instagram,1,7.2,5,4,7
23,Male,Graduate,Denmark,3.8,Twitter,0,7.8,8,2,4
19,Female,Undergraduate,Ireland,5.5,Tiktok,1,6.8,6,4,8
22,Male,Graduate,India,7.2,Facebook,1,5.9,4,5,9
21,Female,Undergraduate,Switzerland,4.2,Instagram,0,7.5,7,2,5
24,Male,Graduate,Turkey,6.8,Tiktok,1,6.2,5,4,8
20,Female,Undergraduate,Usa,5.9,Instagram,1,6.7,6,3,7
22,Male,Graduate,Mexico,6.5,Facebook,1,6.1,5,4,8
19,Female,Undergraduate,France,4.7,Twitter,0,7.4,7,2,5
23,Male,Graduate,Canada,5.2,Instagram,1,7.0,6,3,6
21,Female,Undergraduate,Uk,6.3,Tiktok,1,6.4,5,4,8
24,Male,Graduate,Italy,4.9,Facebook,0,7.3,7,2,5
20,Female,Undergraduate,Russia,6.7,Instagram,1,6.0,5,4,8
22,Male,Graduate,China,5.8,Wechat,1,6.5,6,3,7
19,Female,Undergraduate,Japan,4.5,Twitter,0,7.6,8,2,4
23,Male,Graduate,Poland,6.4,Facebook,1,6.3,5,4,8
21,Female,Undergraduate,Finland,4.1,Instagram,0,7.7,7,2,5
24,Male,Graduate,Spain,6.6,Tiktok,1,6.2,5,4,8
20,Female,Undergraduate,Denmark,4.4,Instagram,0,7.4,7,2,5
22,Male,Graduate,Ireland,5.7,Twitter,1,6.8,6,3,7
19,Female,Undergraduate,India,7.0,Instagram,1,5.8,4,5,9
23,Male,Graduate,Switzerland,4.3,Facebook,0,7.5,7,2,5
21,Female,Undergraduate,Turkey,6.9,Tiktok,1,6.1,5,4,8
24,Male,Graduate,Usa,5.6,Instagram,1,6.9,6,3,7
20,Female,Undergraduate,Mexico,6.2,Facebook,1,6.3,5,4,8
21,Male,Undergraduate,France,5.8,Instagram,1,6.7,6,3,7
23,Female,Graduate,Canada,4.9,Tiktok,0,7.3,7,2,5
20,Male,Undergraduate,Uk,6.4,Facebook,1,6.2,5,4,8
22,Female,Graduate,Italy,5.1,Twitter,0,7.1,7,2,5
19,Male,Undergraduate,Russia,6.7,Instagram,1,6.0,4,4,8
24,Female,Graduate,China,5.5,Wechat,1,6.8,6,3,7
21,Male,Undergraduate,Japan,4.3,Twitter,0,7.6,8,2,4
23,Female,Graduate,Poland,6.2,Instagram,1,6.4,5,4,8
20,Male,Undergraduate,Finland,4.5,Facebook,0,7.4,7,2,5
22,Female,Graduate,Spain,6.3,Tiktok,1,6.3,5,4,8
19,Male,Undergraduate,Denmark,4.7,Instagram,0,7.2,7,2,5
24,Female,Graduate,Ireland,5.9,Twitter,1,6.6,6,3,7
21,Male,Undergraduate,India,7.1,Facebook,1,5.7,4,5,9
23,Female,Graduate,Switzerland,4.4,Instagram,0,7.4,7,2,5
20,Male,Undergraduate,Turkey,6.6,Tiktok,1,6.2,5,4,8
22,Female,Graduate,Usa,5.4,Instagram,1,6.9,6,3,7
19,Male,Undergraduate,Mexico,6.5,Facebook,1,6.1,5,4,8
24,Female,Graduate,France,4.8,Twitter,0,7.3,7,2,5
21,Male,Undergraduate,Canada,5.7,Instagram,1,6.7,6,3,7
23,Female,Graduate,Uk,6.1,Tiktok,1,6.4,5,4,8
20,Male,Undergraduate,Italy,4.6,Facebook,0,7.2,7,2,5
22,Female,Graduate,Russia,6.8,Instagram,1,5.9,4,5,9
19,Male,Undergraduate,China,5.6,Wechat,1,6.8,6,3,7
24,Female,Graduate,Japan,4.2,Twitter,0,7.5,8,2,4
21,Male,Undergraduate,Poland,6.3,Tiktok,1,6.3,5,4,8
23,Female,Graduate,Finland,4.4,Instagram,0,7.4,7,2,5
20,Male,Undergraduate,Spain,6.5,Facebook,1,6.2,5,4,8
22,Female,Graduate,Denmark,4.6,Twitter,0,7.3,7,2,5
19,Male,Undergraduate,Ireland,5.8,Instagram,1,6.6,6,3,7
24,Female,Graduate,India,7.0,Tiktok,1,5.8,4,5,9
21,Male,Undergraduate,Switzerland,4.5,Facebook,0,7.3,7,2,5
23,Female,Graduate,Turkey,6.7,Instagram,1,6.1,5,4,8
20,Male,Undergraduate,Usa,5.5,Twitter,1,6.8,6,3,7
22,Female,Graduate,Mexico,6.4,Facebook,1,6.2,5,4,8
19,Male,Undergraduate,France,4.7,Instagram,0,7.2,7,2,5
24,Female,Graduate,Canada,5.6,Tiktok,1,6.7,6,3,7
21,Male,Undergraduate,Uk,6.2,Facebook,1,6.3,5,4,8
23,Female,Graduate,Italy,4.8,Twitter,0,7.1,7,2,5
20,Male,Undergraduate,Russia,6.9,Instagram,1,5.9,4,5,9
22,Female,Graduate,China,5.7,Wechat,1,6.7,6,3,7
19,Male,Undergraduate,Japan,4.4,Twitter,0,7.4,8,2,4
24,Female,Graduate,Poland,6.1,Tiktok,1,6.4,5,4,8
21,Male,Undergraduate,Finland,4.3,Instagram,0,7.5,7,2,5
23,Female,Graduate,Spain,6.4,Facebook,1,6.2,5,4,8
20,Male,Undergraduate,Denmark,4.5,Twitter,0,7.3,7,2,5
22,Female,Graduate,Ireland,5.9,Instagram,1,6.5,6,3,7
19,Male,Undergraduate,India,7.2,Tiktok,1,5.7,4,5,9
24,Female,Graduate,Switzerland,4.6,Facebook,0,7.2,7,2,5
21,Male,Undergraduate,Turkey,6.8,Instagram,1,6.0,5,4,8
23,Female,Graduate,Usa,5.3,Twitter,1,6.8,6,3,7
22,Male,Graduate,Mexico,6.3,Facebook,1,6.2,5,4,8
20,Female,Undergraduate,France,4.8,Instagram,0,7.1,7,2,5
23,Male,Graduate,Canada,5.7,Tiktok,1,6.6,6,3,7
21,Female,Undergraduate,Uk,6.2,Twitter,1,6.3,5,4,8
24,Male,Graduate,Italy,4.7,Facebook,0,7.2,7,2,5
19,Female,Undergraduate,Russia,6.8,Instagram,1,5.9,4,5,9
22,Male,Graduate,China,5.6,Wechat,1,6.7,6,3,7
20,Female,Undergraduate,Japan,4.3,Twitter,0,7.5,8,2,4
23,Male,Graduate,Poland,6.2,Tiktok,1,6.3,5,4,8
21,Female,Undergraduate,Finland,4.4,Instagram,0,7.4,7,2,5
24,Male,Graduate,Spain,6.5,Facebook,1,6.1,5,4,8
19,Female,Undergraduate,Denmark,4.6,Twitter,0,7.3,7,2,5
22,Male,Graduate,Ireland,5.8,Instagram,1,6.6,6,3,7
20,Female,Undergraduate,India,7.1,Tiktok,1,5.8,4,5,9
23,Male,Graduate,Switzerland,4.5,Facebook,0,7.3,7,2,5
21,Female,Undergraduate,Turkey,6.7,Instagram,1,6.0,5,4,8
24,Male,Graduate,Usa,5.4,Twitter,1,6.8,6,3,7
19,Female,Undergraduate,Mexico,6.4,Tiktok,1,6.2,5,4,8
22,Male,Graduate,France,4.7,Facebook,0,7.2,7,2,5
20,Female,Undergraduate,Canada,5.6,Instagram,1,6.7,6,3,7
23,Male,Graduate,Uk,6.3,Twitter,1,6.2,5,4,8
21,Female,Undergraduate,Italy,4.8,Tiktok,0,7.1,7,2,5
24,Male,Graduate,Russia,6.9,Instagram,1,5.9,4,5,9
19,Female,Undergraduate,China,5.7,Wechat,1,6.7,6,3,7
22,Male,Graduate,Japan,4.4,Twitter,0,7.4,8,2,4
20,Female,Undergraduate,Poland,6.1,Facebook,1,6.4,5,4,8
23,Male,Graduate,Finland,4.3,Instagram,0,7.5,7,2,5
21,Female,Undergraduate,Spain,6.4,Tiktok,1,6.2,5,4,8
24,Male,Graduate,Denmark,4.5,Twitter,0,7.3,7,2,5
19,Female,Undergraduate,Ireland,5.9,Instagram,1,6.5,6,3,7
22,Male,Graduate,India,7.2,Facebook,1,5.7,4,5,9
20,Female,Undergraduate,Switzerland,4.6,Tiktok,0,7.2,7,2,5
23,Male,Graduate,Turkey,6.8,Instagram,1,6.0,5,4,8
21,Female,Undergraduate,Usa,5.3,Twitter,1,6.8,6,3,7
24,Male,Graduate,Mexico,6.2,Facebook,1,6.3,5,4,8
19,Female,Undergraduate,France,4.7,Instagram,0,7.2,7,2,5
22,Male,Graduate,Canada,5.8,Tiktok,1,6.6,6,3,7
20,Female,Undergraduate,Uk,6.1,Twitter,1,6.4,5,4,8
23,Male,Graduate,Italy,4.8,Facebook,0,7.1,7,2,5
21,Female,Undergraduate,Russia,6.7,Instagram,1,6.0,4,5,9
24,Male,Graduate,China,5.5,Wechat,1,6.8,6,3,7
19,Female,Undergraduate,Japan,4.2,Twitter,0,7.5,8,2,4
22,Male,Graduate,Poland,6.3,Tiktok,1,6.2,5,4,8
20,Female,Undergraduate,Finland,4.4,Instagram,0,7.4,7,2,5
23,Male,Graduate,Spain,6.5,Facebook,1,6.1,5,4,8
21,Female,Undergraduate,Denmark,4.6,Twitter,0,7.3,7,2,5
24,Male,Graduate,Ireland,5.9,Instagram,1,6.5,6,3,7
19,Female,Undergraduate,India,7.0,Tiktok,1,5.8,4,5,9
22,Male,Graduate,Switzerland,4.5,Facebook,0,7.3,7,2,5
20,Female,Undergraduate,Turkey,6.6,Instagram,1,6.1,5,4,8
23,Male,Graduate,Usa,5.5,Twitter,1,6.7,6,3,7
21,Female,Undergraduate,Mexico,6.3,Tiktok,1,6.2,5,4,8
24,Male,Graduate,France,4.8,Facebook,0,7.1,7,2,5
19,Female,Undergraduate,Canada,5.7,Instagram,1,6.6,6,3,7
22,Male,Graduate,Uk,6.2,Twitter,1,6.3,5,4,8
20,Female,Undergraduate,Italy,4.7,Tiktok,0,7.2,7,2,5
23,Male,Graduate,Russia,6.8,Instagram,1,5.9,4,5,9
21,Female,Undergraduate,China,5.6,Wechat,1,6.7,6,3,7
24,Male,Graduate,Japan,4.3,Twitter,0,7.5,8,2,4
19,Female,Undergraduate,Poland,6.2,Facebook,1,6.3,5,4,8
